student_id,name,assigned_session,preference_rank
179,Student_179,Course_4,3
180,Student_180,Course_7,3
181,Student_181,Course_10,3
182,Student_182,Course_8,3
183,Student_183,Course_8,3
184,Student_184,Course_10,3
185,Student_185,Course_1,1
186,Student_186,Course_2,1
187,Student_187,Course_4,2
188,Student_188,Course_1,1
189,Student_189,Course_2,1
190,Student_190,Course_3,3
191,Student_191,Course_7,1
192,Student_192,Course_9,3
193,Student_193,Course_4,2
194,Student_194,Course_1,1
195,Student_195,Course_9,3
196,Student_196,Course_7,3
197,Student_197,Course_6,3
198,Student_198,Course_7,2
199,Student_199,Course_2,1
200,Student_200,Course_6,2
201,Student_201,Course_1,1
202,Student_202,Course_1,1
203,Student_203,Course_8,3
204,Student_204,Course_5,3
205,Student_205,Course_4,3
206,Student_206,Course_8,2
207,Student_207,Course_3,3
208,Student_208,Course_3,2
209,Student_209,Course_5,3
210,Student_210,Course_5,3
211,Student_211,Course_6,1
212,Student_212,Course_9,2
213,Student_213,Course_2,1
214,Student_214,Course_8,3
215,Student_215,Course_9,3
216,Student_216,Course_1,1
217,Student_217,Course_3,3
218,Student_218,Course_6,3
219,Student_219,Course_3,3
220,Student_220,Course_4,3
221,Student_221,Course_10,3
222,Student_222,Course_1,1
223,Student_223,Course_8,3
224,Student_224,Course_2,1
225,Student_225,Course_8,3
226,Student_226,Course_7,3
227,Student_227,Course_10,3
228,Student_228,Course_4,3
229,Student_229,Course_3,1
230,Student_230,Course_10,3
231,Student_231,Course_4,2
232,Student_232,Course_3,3
233,Student_233,Course_9,3
234,Student_234,Course_3,1
235,Student_235,Course_9,4
236,Student_236,Course_3,3
237,Student_237,Course_7,2
238,Student_238,Course_10,3
239,Student_239,Course_6,3
240,Student_240,Course_6,3
241,Student_241,Course_4,3
242,Student_242,Course_9,3
243,Student_243,Course_7,3
244,Student_244,Course_1,1
245,Student_245,Course_5,3
246,Student_246,Course_10,2
247,Student_247,Course_6,2
248,Student_248,Course_9,3
249,Student_249,Course_9,3
250,Student_250,Course_8,2
251,Student_251,Course_4,2
252,Student_252,Course_8,3
253,Student_253,Course_3,1
254,Student_254,Course_1,1
255,Student_255,Course_1,1
256,Student_256,Course_7,3
257,Student_257,Course_5,3
258,Student_258,Course_5,3
259,Student_259,Course_9,2
260,Student_260,Course_9,3
261,Student_261,Course_9,3
262,Student_262,Course_4,3
263,Student_263,Course_9,2
264,Student_264,Course_2,1
265,Student_265,Course_7,3
266,Student_266,Course_10,3
267,Student_267,Course_4,3
268,Student_268,Course_6,5
269,Student_269,Course_3,2
270,Student_270,Course_10,3
271,Student_271,Course_3,3
272,Student_272,Course_3,2
273,Student_273,Course_4,2
274,Student_274,Course_4,1
275,Student_275,Course_5,2
276,Student_276,Course_1,1
277,Student_277,Course_8,2
278,Student_278,Course_8,2
279,Student_279,Course_5,2
280,Student_280,Course_1,1
281,Student_281,Course_9,3
282,Student_282,Course_5,3
283,Student_283,Course_9,4
284,Student_284,Course_10,3
285,Student_285,Course_6,8
286,Student_286,Course_2,1
287,Student_287,Course_7,2
288,Student_288,Course_1,1
289,Student_289,Course_6,3
290,Student_290,Course_6,5
291,Student_291,Course_9,2
292,Student_292,Course_2,1
293,Student_293,Course_6,2
294,Student_294,Course_8,3
295,Student_295,Course_3,3
296,Student_296,Course_1,1
297,Student_297,Course_5,3
298,Student_298,Course_10,2
299,Student_299,Course_8,1
300,Student_300,Course_1,1
