student_id,name,pref_1,pref_2,pref_3,pref_4,pref_5,pref_6,pref_7,pref_8,pref_9,pref_10
45,Student_045,Course_10,Course_9,Course_5,Course_2,Course_4,Course_8,Course_6,Course_3,Course_1,Course_7
46,Student_046,Course_8,Course_3,Course_6,Course_5,Course_10,Course_4,Course_9,Course_1,Course_7,Course_2
47,Student_047,Course_7,Course_3,Course_10,Course_8,Course_2,Course_6,Course_1,Course_9,Course_4,Course_5
48,Student_048,Course_10,Course_7,Course_1,Course_3,Course_4,Course_9,Course_8,Course_6,Course_5,Course_2
49,Student_049,Course_6,Course_9,Course_2,Course_4,Course_8,Course_7,Course_1,Course_10,Course_3,Course_5
50,Student_050,Course_10,Course_6,Course_1,Course_3,Course_8,Course_5,Course_4,Course_2,Course_9,Course_7
51,Student_051,Course_5,Course_2,Course_6,Course_7,Course_10,Course_8,Course_3,Course_4,Course_9,Course_1
52,Student_052,Course_1,Course_10,Course_8,Course_7,Course_3,Course_4,Course_6,Course_9,Course_5,Course_2
53,Student_053,Course_1,Course_5,Course_10,Course_2,Course_7,Course_6,Course_8,Course_4,Course_3,Course_9
54,Student_054,Course_8,Course_5,Course_6,Course_4,Course_2,Course_10,Course_3,Course_1,Course_9,Course_7
55,Student_055,Course_7,Course_1,Course_3,Course_4,Course_5,Course_2,Course_6,Course_9,Course_10,Course_8
56,Student_056,Course_4,Course_9,Course_7,Course_8,Course_3,Course_10,Course_1,Course_6,Course_5,Course_2
57,Student_057,Course_3,Course_6,Course_2,Course_7,Course_9,Course_5,Course_8,Course_4,Course_10,Course_1
58,Student_058,Course_3,Course_4,Course_6,Course_5,Course_1,Course_9,Course_2,Course_10,Course_8,Course_7
59,Student_059,Course_10,Course_4,Course_6,Course_7,Course_2,Course_5,Course_1,Course_8,Course_9,Course_3
60,Student_060,Course_1,Course_2,Course_3,Course_10,Course_5,Course_4,Course_7,Course_6,Course_9,Course_8
61,Student_061,Course_6,Course_1,Course_5,Course_4,Course_7,Course_2,Course_10,Course_9,Course_8,Course_3
62,Student_062,Course_1,Course_4,Course_10,Course_7,Course_9,Course_3,Course_6,Course_2,Course_8,Course_5
63,Student_063,Course_5,Course_1,Course_8,Course_6,Course_4,Course_7,Course_10,Course_3,Course_2,Course_9
64,Student_064,Course_10,Course_8,Course_1,Course_6,Course_4,Course_5,Course_3,Course_9,Course_7,Course_2
65,Student_065,Course_3,Course_2,Course_8,Course_6,Course_4,Course_5,Course_9,Course_1,Course_10,Course_7
66,Student_066,Course_3,Course_1,Course_4,Course_2,Course_8,Course_6,Course_10,Course_9,Course_7,Course_5
67,Student_067,Course_2,Course_9,Course_10,Course_6,Course_3,Course_4,Course_1,Course_8,Course_7,Course_5
68,Student_068,Course_9,Course_2,Course_7,Course_10,Course_6,Course_5,Course_4,Course_1,Course_3,Course_8
69,Student_069,Course_5,Course_2,Course_7,Course_6,Course_4,Course_9,Course_1,Course_10,Course_8,Course_3
70,Student_070,Course_5,Course_9,Course_2,Course_1,Course_8,Course_4,Course_3,Course_7,Course_10,Course_6
71,Student_071,Course_7,Course_3,Course_4,Course_5,Course_10,Course_8,Course_2,Course_6,Course_1,Course_9
72,Student_072,Course_6,Course_5,Course_8,Course_9,Course_10,Course_7,Course_2,Course_3,Course_1,Course_4
73,Student_073,Course_3,Course_7,Course_4,Course_1,Course_10,Course_9,Course_2,Course_6,Course_5,Course_8
74,Student_074,Course_10,Course_9,Course_3,Course_7,Course_4,Course_6,Course_8,Course_5,Course_1,Course_2
75,Student_075,Course_8,Course_9,Course_7,Course_1,Course_5,Course_3,Course_6,Course_10,Course_4,Course_2
76,Student_076,Course_4,Course_2,Course_5,Course_8,Course_1,Course_3,Course_10,Course_7,Course_9,Course_6
77,Student_077,Course_10,Course_1,Course_5,Course_9,Course_4,Course_6,Course_3,Course_7,Course_2,Course_8
78,Student_078,Course_6,Course_1,Course_2,Course_3,Course_10,Course_7,Course_4,Course_8,Course_5,Course_9
79,Student_079,Course_3,Course_1,Course_7,Course_6,Course_9,Course_4,Course_10,Course_8,Course_5,Course_2
80,Student_080,Course_1,Course_7,Course_9,Course_5,Course_10,Course_2,Course_4,Course_3,Course_6,Course_8
81,Student_081,Course_7,Course_4,Course_3,Course_6,Course_8,Course_2,Course_9,Course_1,Course_5,Course_10
82,Student_082,Course_2,Course_3,Course_1,Course_5,Course_7,Course_10,Course_6,Course_4,Course_9,Course_8
83,Student_083,Course_1,Course_9,Course_8,Course_10,Course_3,Course_2,Course_6,Course_7,Course_4,Course_5
84,Student_084,Course_1,Course_5,Course_2,Course_10,Course_4,Course_8,Course_3,Course_6,Course_9,Course_7
85,Student_085,Course_8,Course_7,Course_6,Course_9,Course_5,Course_1,Course_3,Course_10,Course_2,Course_4
86,Student_086,Course_10,Course_7,Course_4,Course_6,Course_3,Course_2,Course_1,Course_9,Course_5,Course_8
87,Student_087,Course_2,Course_10,Course_4,Course_7,Course_6,Course_9,Course_8,Course_3,Course_1,Course_5
88,Student_088,Course_10,Course_6,Course_9,Course_7,Course_4,Course_3,Course_5,Course_1,Course_2,Course_8
89,Student_089,Course_6,Course_10,Course_2,Course_8,Course_9,Course_4,Course_7,Course_5,Course_1,Course_3
90,Student_090,Course_7,Course_6,Course_4,Course_9,Course_8,Course_5,Course_10,Course_3,Course_1,Course_2
91,Student_091,Course_1,Course_3,Course_2,Course_6,Course_8,Course_5,Course_10,Course_4,Course_7,Course_9
92,Student_092,Course_2,Course_3,Course_4,Course_6,Course_1,Course_9,Course_8,Course_5,Course_7,Course_10
93,Student_093,Course_6,Course_8,Course_4,Course_1,Course_10,Course_7,Course_9,Course_3,Course_2,Course_5
94,Student_094,Course_6,Course_5,Course_4,Course_10,Course_2,Course_1,Course_3,Course_9,Course_8,Course_7
95,Student_095,Course_7,Course_1,Course_10,Course_9,Course_5,Course_6,Course_3,Course_4,Course_2,Course_8
96,Student_096,Course_7,Course_6,Course_10,Course_5,Course_1,Course_2,Course_8,Course_3,Course_4,Course_9
97,Student_097,Course_7,Course_9,Course_2,Course_6,Course_3,Course_4,Course_1,Course_8,Course_5,Course_10
98,Student_098,Course_9,Course_7,Course_10,Course_5,Course_3,Course_6,Course_4,Course_1,Course_2,Course_8
99,Student_099,Course_6,Course_7,Course_3,Course_10,Course_2,Course_9,Course_8,Course_5,Course_1,Course_4
100,Student_100,Course_10,Course_9,Course_2,Course_8,Course_1,Course_4,Course_6,Course_7,Course_3,Course_5
101,Student_101,Course_1,Course_9,Course_5,Course_4,Course_3,Course_8,Course_7,Course_2,Course_10,Course_6
102,Student_102,Course_9,Course_6,Course_2,Course_10,Course_3,Course_8,Course_4,Course_1,Course_7,Course_5
103,Student_103,Course_2,Course_3,Course_8,Course_10,Course_4,Course_5,Course_6,Course_1,Course_9,Course_7
104,Student_104,Course_3,Course_5,Course_7,Course_2,Course_1,Course_4,Course_10,Course_8,Course_6,Course_9
105,Student_105,Course_4,Course_6,Course_3,Course_2,Course_10,Course_7,Course_1,Course_9,Course_8,Course_5
106,Student_106,Course_3,Course_6,Course_7,Course_2,Course_8,Course_4,Course_10,Course_1,Course_9,Course_5
107,Student_107,Course_1,Course_4,Course_10,Course_7,Course_5,Course_9,Course_6,Course_8,Course_3,Course_2
108,Student_108,Course_7,Course_1,Course_3,Course_6,Course_9,Course_2,Course_5,Course_10,Course_4,Course_8
109,Student_109,Course_4,Course_6,Course_10,Course_1,Course_8,Course_9,Course_3,Course_7,Course_5,Course_2
110,Student_110,Course_1,Course_6,Course_2,Course_9,Course_7,Course_5,Course_4,Course_3,Course_8,Course_10
111,Student_111,Course_3,Course_7,Course_1,Course_10,Course_5,Course_2,Course_9,Course_4,Course_6,Course_8
112,Student_112,Course_3,Course_10,Course_5,Course_2,Course_7,Course_4,Course_9,Course_8,Course_6,Course_1
113,Student_113,Course_5,Course_2,Course_10,Course_8,Course_4,Course_1,Course_7,Course_6,Course_9,Course_3
114,Student_114,Course_4,Course_9,Course_5,Course_10,Course_2,Course_6,Course_8,Course_7,Course_3,Course_1
115,Student_115,Course_1,Course_10,Course_8,Course_4,Course_5,Course_3,Course_9,Course_2,Course_7,Course_6
116,Student_116,Course_4,Course_10,Course_5,Course_7,Course_3,Course_6,Course_8,Course_2,Course_1,Course_9
117,Student_117,Course_5,Course_6,Course_10,Course_1,Course_3,Course_8,Course_4,Course_9,Course_2,Course_7
118,Student_118,Course_10,Course_8,Course_7,Course_9,Course_2,Course_4,Course_3,Course_6,Course_5,Course_1
119,Student_119,Course_7,Course_6,Course_8,Course_4,Course_5,Course_1,Course_2,Course_9,Course_3,Course_10
120,Student_120,Course_5,Course_1,Course_2,Course_7,Course_9,Course_6,Course_10,Course_4,Course_3,Course_8
121,Student_121,Course_7,Course_2,Course_6,Course_9,Course_10,Course_4,Course_1,Course_3,Course_5,Course_8
122,Student_122,Course_3,Course_7,Course_9,Course_1,Course_6,Course_4,Course_2,Course_10,Course_8,Course_5
123,Student_123,Course_7,Course_8,Course_2,Course_4,Course_1,Course_3,Course_9,Course_5,Course_6,Course_10
124,Student_124,Course_5,Course_4,Course_9,Course_6,Course_2,Course_3,Course_7,Course_8,Course_1,Course_10
125,Student_125,Course_4,Course_9,Course_2,Course_8,Course_7,Course_1,Course_6,Course_3,Course_5,Course_10
126,Student_126,Course_2,Course_5,Course_7,Course_4,Course_9,Course_8,Course_1,Course_3,Course_6,Course_10
127,Student_127,Course_1,Course_8,Course_4,Course_2,Course_10,Course_7,Course_5,Course_6,Course_9,Course_3
128,Student_128,Course_9,Course_7,Course_3,Course_10,Course_8,Course_1,Course_4,Course_2,Course_6,Course_5
129,Student_129,Course_8,Course_5,Course_10,Course_3,Course_1,Course_4,Course_7,Course_2,Course_6,Course_9
130,Student_130,Course_2,Course_9,Course_7,Course_1,Course_3,Course_4,Course_10,Course_5,Course_6,Course_8
131,Student_131,Course_7,Course_10,Course_3,Course_4,Course_9,Course_2,Course_5,Course_6,Course_1,Course_8
132,Student_132,Course_9,Course_5,Course_6,Course_4,Course_8,Course_10,Course_1,Course_3,Course_2,Course_7
133,Student_133,Course_2,Course_1,Course_5,Course_6,Course_8,Course_7,Course_10,Course_3,Course_9,Course_4
134,Student_134,Course_6,Course_9,Course_10,Course_1,Course_3,Course_4,Course_5,Course_8,Course_2,Course_7
135,Student_135,Course_5,Course_7,Course_10,Course_6,Course_1,Course_3,Course_2,Course_9,Course_8,Course_4
136,Student_136,Course_9,Course_8,Course_3,Course_6,Course_4,Course_10,Course_2,Course_5,Course_7,Course_1
137,Student_137,Course_4,Course_8,Course_6,Course_5,Course_2,Course_3,Course_7,Course_9,Course_1,Course_10
138,Student_138,Course_7,Course_8,Course_1,Course_3,Course_6,Course_10,Course_5,Course_4,Course_9,Course_2
139,Student_139,Course_7,Course_4,Course_6,Course_1,Course_2,Course_8,Course_10,Course_9,Course_3,Course_5
140,Student_140,Course_8,Course_4,Course_9,Course_10,Course_5,Course_2,Course_7,Course_6,Course_1,Course_3
141,Student_141,Course_2,Course_7,Course_8,Course_9,Course_10,Course_4,Course_6,Course_3,Course_1,Course_5
142,Student_142,Course_2,Course_9,Course_3,Course_4,Course_1,Course_7,Course_5,Course_6,Course_10,Course_8
143,Student_143,Course_7,Course_3,Course_2,Course_8,Course_9,Course_6,Course_4,Course_5,Course_1,Course_10
144,Student_144,Course_3,Course_10,Course_9,Course_5,Course_1,Course_4,Course_6,Course_8,Course_2,Course_7
145,Student_145,Course_1,Course_4,Course_10,Course_9,Course_7,Course_6,Course_8,Course_5,Course_3,Course_2
146,Student_146,Course_5,Course_3,Course_4,Course_2,Course_10,Course_6,Course_1,Course_7,Course_9,Course_8
147,Student_147,Course_2,Course_1,Course_3,Course_5,Course_8,Course_10,Course_9,Course_6,Course_7,Course_4
148,Student_148,Course_1,Course_4,Course_5,Course_2,Course_9,Course_3,Course_8,Course_10,Course_7,Course_6
149,Student_149,Course_8,Course_6,Course_5,Course_3,Course_7,Course_4,Course_1,Course_9,Course_10,Course_2
150,Student_150,Course_7,Course_2,Course_5,Course_3,Course_4,Course_1,Course_8,Course_6,Course_9,Course_10
151,Student_151,Course_7,Course_4,Course_6,Course_2,Course_8,Course_10,Course_3,Course_9,Course_5,Course_1
152,Student_152,Course_8,Course_10,Course_9,Course_1,Course_3,Course_5,Course_7,Course_6,Course_2,Course_4
153,Student_153,Course_10,Course_2,Course_4,Course_8,Course_3,Course_6,Course_5,Course_1,Course_9,Course_7
154,Student_154,Course_10,Course_3,Course_7,Course_4,Course_8,Course_2,Course_1,Course_9,Course_6,Course_5
155,Student_155,Course_5,Course_9,Course_10,Course_3,Course_6,Course_7,Course_8,Course_4,Course_2,Course_1
156,Student_156,Course_10,Course_4,Course_3,Course_7,Course_9,Course_8,Course_1,Course_2,Course_6,Course_5
157,Student_157,Course_3,Course_1,Course_2,Course_6,Course_9,Course_10,Course_4,Course_7,Course_8,Course_5
158,Student_158,Course_8,Course_10,Course_5,Course_7,Course_3,Course_1,Course_4,Course_6,Course_2,Course_9
159,Student_159,Course_3,Course_8,Course_9,Course_2,Course_6,Course_10,Course_5,Course_7,Course_4,Course_1
160,Student_160,Course_8,Course_2,Course_7,Course_4,Course_6,Course_1,Course_10,Course_9,Course_5,Course_3
161,Student_161,Course_4,Course_8,Course_1,Course_9,Course_2,Course_6,Course_5,Course_7,Course_10,Course_3
162,Student_162,Course_6,Course_2,Course_5,Course_9,Course_3,Course_8,Course_4,Course_10,Course_7,Course_1
163,Student_163,Course_6,Course_10,Course_9,Course_8,Course_3,Course_1,Course_4,Course_2,Course_5,Course_7
164,Student_164,Course_10,Course_5,Course_3,Course_4,Course_9,Course_1,Course_8,Course_7,Course_2,Course_6
165,Student_165,Course_5,Course_1,Course_4,Course_10,Course_6,Course_3,Course_8,Course_7,Course_2,Course_9
166,Student_166,Course_4,Course_1,Course_6,Course_3,Course_8,Course_7,Course_5,Course_10,Course_9,Course_2
167,Student_167,Course_10,Course_1,Course_7,Course_5,Course_6,Course_9,Course_8,Course_3,Course_2,Course_4
168,Student_168,Course_1,Course_2,Course_10,Course_4,Course_6,Course_5,Course_7,Course_9,Course_8,Course_3
169,Student_169,Course_5,Course_7,Course_2,Course_9,Course_10,Course_4,Course_1,Course_8,Course_3,Course_6
170,Student_170,Course_7,Course_8,Course_5,Course_1,Course_10,Course_4,Course_3,Course_2,Course_9,Course_6
171,Student_171,Course_3,Course_1,Course_8,Course_4,Course_6,Course_7,Course_10,Course_9,Course_2,Course_5
172,Student_172,Course_3,Course_10,Course_1,Course_2,Course_7,Course_9,Course_5,Course_6,Course_4,Course_8
173,Student_173,Course_3,Course_7,Course_4,Course_1,Course_8,Course_9,Course_5,Course_10,Course_6,Course_2
174,Student_174,Course_1,Course_5,Course_2,Course_4,Course_6,Course_7,Course_10,Course_3,Course_9,Course_8
175,Student_175,Course_5,Course_8,Course_2,Course_4,Course_7,Course_3,Course_9,Course_6,Course_1,Course_10
176,Student_176,Course_7,Course_4,Course_8,Course_9,Course_2,Course_5,Course_1,Course_6,Course_3,Course_10
177,Student_177,Course_6,Course_1,Course_7,Course_9,Course_10,Course_4,Course_8,Course_5,Course_2,Course_3
178,Student_178,Course_5,Course_4,Course_10,Course_2,Course_8,Course_3,Course_1,Course_6,Course_9,Course_7
179,Student_179,Course_6,Course_10,Course_5,Course_3,Course_1,Course_7,Course_2,Course_9,Course_4,Course_8
180,Student_180,Course_1,Course_4,Course_9,Course_5,Course_10,Course_8,Course_2,Course_7,Course_3,Course_6
181,Student_181,Course_10,Course_5,Course_3,Course_4,Course_2,Course_9,Course_8,Course_6,Course_7,Course_1
182,Student_182,Course_1,Course_5,Course_6,Course_7,Course_2,Course_10,Course_3,Course_9,Course_4,Course_8
183,Student_183,Course_6,Course_3,Course_1,Course_2,Course_4,Course_10,Course_9,Course_7,Course_5,Course_8
184,Student_184,Course_2,Course_4,Course_6,Course_9,Course_10,Course_3,Course_7,Course_8,Course_1,Course_5
185,Student_185,Course_7,Course_1,Course_6,Course_9,Course_10,Course_4,Course_8,Course_3,Course_2,Course_5
186,Student_186,Course_5,Course_2,Course_3,Course_9,Course_7,Course_10,Course_1,Course_6,Course_8,Course_4
187,Student_187,Course_10,Course_6,Course_5,Course_9,Course_1,Course_8,Course_3,Course_2,Course_7,Course_4
188,Student_188,Course_7,Course_8,Course_5,Course_6,Course_2,Course_4,Course_9,Course_1,Course_10,Course_3
189,Student_189,Course_3,Course_6,Course_9,Course_4,Course_8,Course_7,Course_10,Course_5,Course_1,Course_2
190,Student_190,Course_6,Course_3,Course_7,Course_9,Course_10,Course_8,Course_1,Course_2,Course_5,Course_4
191,Student_191,Course_4,Course_10,Course_3,Course_2,Course_7,Course_5,Course_6,Course_1,Course_9,Course_8
192,Student_192,Course_9,Course_6,Course_8,Course_4,Course_2,Course_3,Course_10,Course_1,Course_7,Course_5
193,Student_193,Course_4,Course_3,Course_8,Course_1,Course_10,Course_7,Course_5,Course_2,Course_6,Course_9
194,Student_194,Course_4,Course_2,Course_5,Course_9,Course_10,Course_8,Course_3,Course_6,Course_7,Course_1
195,Student_195,Course_7,Course_8,Course_10,Course_5,Course_3,Course_1,Course_9,Course_6,Course_2,Course_4
196,Student_196,Course_9,Course_6,Course_5,Course_4,Course_1,Course_2,Course_7,Course_3,Course_10,Course_8
197,Student_197,Course_7,Course_2,Course_5,Course_8,Course_6,Course_3,Course_9,Course_10,Course_1,Course_4
198,Student_198,Course_8,Course_10,Course_2,Course_6,Course_9,Course_7,Course_3,Course_4,Course_1,Course_5
199,Student_199,Course_5,Course_2,Course_1,Course_3,Course_8,Course_4,Course_10,Course_9,Course_7,Course_6
200,Student_200,Course_3,Course_10,Course_2,Course_9,Course_4,Course_1,Course_7,Course_5,Course_6,Course_8
201,Student_201,Course_8,Course_4,Course_2,Course_10,Course_3,Course_7,Course_1,Course_6,Course_5,Course_9
202,Student_202,Course_5,Course_2,Course_1,Course_9,Course_8,Course_4,Course_6,Course_3,Course_7,Course_10
203,Student_203,Course_3,Course_8,Course_2,Course_4,Course_9,Course_1,Course_6,Course_5,Course_7,Course_10
204,Student_204,Course_5,Course_4,Course_9,Course_6,Course_7,Course_2,Course_10,Course_8,Course_3,Course_1
205,Student_205,Course_8,Course_9,Course_10,Course_3,Course_4,Course_2,Course_5,Course_1,Course_7,Course_6
206,Student_206,Course_7,Course_5,Course_1,Course_10,Course_8,Course_9,Course_4,Course_6,Course_3,Course_2
207,Student_207,Course_6,Course_2,Course_4,Course_9,Course_10,Course_1,Course_5,Course_7,Course_8,Course_3
208,Student_208,Course_3,Course_10,Course_9,Course_6,Course_7,Course_1,Course_2,Course_8,Course_5,Course_4
209,Student_209,Course_4,Course_5,Course_9,Course_7,Course_1,Course_3,Course_10,Course_6,Course_2,Course_8
210,Student_210,Course_10,Course_7,Course_8,Course_5,Course_9,Course_2,Course_1,Course_4,Course_6,Course_3
211,Student_211,Course_3,Course_8,Course_7,Course_1,Course_2,Course_5,Course_4,Course_10,Course_9,Course_6
212,Student_212,Course_3,Course_2,Course_6,Course_1,Course_5,Course_4,Course_9,Course_10,Course_8,Course_7
213,Student_213,Course_4,Course_1,Course_7,Course_10,Course_3,Course_5,Course_6,Course_9,Course_8,Course_2
214,Student_214,Course_10,Course_6,Course_4,Course_2,Course_5,Course_8,Course_9,Course_1,Course_7,Course_3
215,Student_215,Course_9,Course_8,Course_2,Course_1,Course_7,Course_5,Course_10,Course_4,Course_6,Course_3
216,Student_216,Course_2,Course_4,Course_7,Course_1,Course_10,Course_8,Course_6,Course_3,Course_5,Course_9
217,Student_217,Course_2,Course_1,Course_4,Course_8,Course_7,Course_5,Course_6,Course_9,Course_3,Course_10
218,Student_218,Course_8,Course_4,Course_7,Course_9,Course_3,Course_5,Course_6,Course_10,Course_2,Course_1
219,Student_219,Course_4,Course_9,Course_2,Course_7,Course_3,Course_5,Course_6,Course_8,Course_1,Course_10
220,Student_220,Course_9,Course_3,Course_4,Course_2,Course_10,Course_6,Course_1,Course_8,Course_5,Course_7
221,Student_221,Course_1,Course_6,Course_9,Course_7,Course_2,Course_5,Course_3,Course_4,Course_10,Course_8
222,Student_222,Course_10,Course_4,Course_2,Course_1,Course_5,Course_8,Course_9,Course_3,Course_7,Course_6
223,Student_223,Course_3,Course_10,Course_7,Course_1,Course_6,Course_9,Course_4,Course_5,Course_2,Course_8
224,Student_224,Course_6,Course_8,Course_1,Course_5,Course_3,Course_2,Course_9,Course_4,Course_10,Course_7
225,Student_225,Course_6,Course_2,Course_5,Course_1,Course_7,Course_3,Course_4,Course_10,Course_9,Course_8
226,Student_226,Course_6,Course_7,Course_10,Course_1,Course_3,Course_5,Course_2,Course_4,Course_8,Course_9
227,Student_227,Course_3,Course_2,Course_7,Course_4,Course_6,Course_1,Course_9,Course_5,Course_10,Course_8
228,Student_228,Course_5,Course_3,Course_8,Course_2,Course_9,Course_4,Course_1,Course_10,Course_7,Course_6
229,Student_229,Course_10,Course_6,Course_4,Course_1,Course_3,Course_5,Course_9,Course_8,Course_7,Course_2
230,Student_230,Course_1,Course_4,Course_8,Course_10,Course_2,Course_3,Course_5,Course_9,Course_6,Course_7
231,Student_231,Course_7,Course_6,Course_5,Course_4,Course_3,Course_2,Course_8,Course_10,Course_1,Course_9
232,Student_232,Course_1,Course_6,Course_4,Course_2,Course_7,Course_5,Course_8,Course_10,Course_9,Course_3
233,Student_233,Course_7,Course_2,Course_1,Course_4,Course_3,Course_5,Course_9,Course_8,Course_6,Course_10
234,Student_234,Course_10,Course_8,Course_9,Course_4,Course_1,Course_3,Course_5,Course_7,Course_2,Course_6
235,Student_235,Course_2,Course_9,Course_10,Course_4,Course_7,Course_6,Course_5,Course_3,Course_8,Course_1
236,Student_236,Course_5,Course_9,Course_7,Course_6,Course_3,Course_8,Course_10,Course_4,Course_2,Course_1
237,Student_237,Course_10,Course_5,Course_3,Course_2,Course_1,Course_6,Course_9,Course_8,Course_7,Course_4
238,Student_238,Course_1,Course_7,Course_10,Course_2,Course_3,Course_4,Course_5,Course_8,Course_6,Course_9
239,Student_239,Course_1,Course_3,Course_10,Course_7,Course_2,Course_4,Course_8,Course_5,Course_6,Course_9
240,Student_240,Course_1,Course_8,Course_7,Course_3,Course_10,Course_2,Course_6,Course_9,Course_5,Course_4
241,Student_241,Course_7,Course_3,Course_2,Course_4,Course_6,Course_8,Course_1,Course_10,Course_5,Course_9
242,Student_242,Course_9,Course_4,Course_2,Course_7,Course_8,Course_6,Course_10,Course_1,Course_5,Course_3
243,Student_243,Course_2,Course_10,Course_1,Course_6,Course_3,Course_5,Course_7,Course_9,Course_4,Course_8
